major_theme,count,latest_published_date,sample_titles
就業規則・労務管理,35,2026-04-09 09:00:00,建設業必見！2026年版「人手不足×働き方改革」の対応 / 2026年4月施行！改正女性活躍推進法で101人以上の企業に義務化される公表項目と準備の進め方 / 【2025年版】就業規則で「退職は3ヵ月前までに申し出ること」と定めれば効力はあるのか？
お知らせ,17,2025-12-15 09:00:00,年末年始休業のお知らせ / 夏季休暇のお知らせ / GW休業のお知らせ
労働時間・休日休暇,14,2025-12-15 09:00:00,残業を減らすクリニックの評価観点：片付け・引き継ぎ・声かけ / 【2025年版】退職時の有給休暇はどう対応する？取得義務・買取・引継ぎまで完全解説 / 残業代の割増単価算出に必要な月平均所定労働時間とは？
その他,11,2026-06-10 09:00:00,クリニックのレセプト作業をどう評価に入れる？正確さとスピードの見かた / クリニックの評価面談でスタッフが前向きになる話し方 / 物品・在庫管理を評価に入れてムダを減らす！クリニックの見える化ルール
給与計算・賃金,8,2025-11-19 09:00:00,賞与を支給したら何をする？中小企業が必ずやるべき社会保険・税務の手続きまとめ / 評価と賃金・賞与の連動ルール｜診療報酬に左右されにくい昇給テーブル設計 / 初めて給与計算担当者になった時に、押さえておきたいポイントを解説！
採用・雇用契約,5,2026-02-06 09:00:00,シフト制・時短・パートが多い職場の評価運用｜勤怠の差を公平に織り込む実務ポイント / 同一労働同一賃金に対応した評価制度｜パート・時短スタッフの公平性設計 / 採用強化につながる評価制度｜求人票・面接・オンボーディングで何を“約束”するか
助成金・給付金,5,2021-09-13 12:00:00,70歳まで働く時代。教育訓練給付金で資格を取ろう！ / 令和3年注目の助成金「65歳超雇用推進助成金」とは？ / 新型コロナウィルスの影響で退職したら失業保険はすぐもらえるの！？
育児介護・両立支援,4,2025-03-24 12:00:00,育児・介護休業法改正のポイントについて解説 / 男性の育児休業取得に57万円！両立支援等助成金！ / パートももらえる？産前産後休業（産休）と育児休業（育休）
年金,4,2026-04-02 09:00:00,【2026年4月改正】在職老齢年金の基準が65万円に引き上げ！改正内容のポイントを解説 / 年金未納は損！？受給資格期間１０年で年金がもらえるようになった！ / コロナで収入が減ったら国民年金保険料の免除申請を忘れずに！
ライフプランニング,3,2021-09-06 12:00:00,子供の教育資金は高校卒業までに400万円貯めるのが目標 / 民間の医療保険は必要なのか？ライフステージごとに解説します。 / 帝王切開の費用はいくら？高額療養費制度について解説！
退職・解雇,2,2025-04-21 09:00:00,解雇と退職勧奨、解雇は危険 / 夫の退職で妻の健康保険と年金はどうなる！？
社会保険・労働保険,2,2022-08-01 12:00:00,法人化した場合の労働保険、社会保険の手続き / 社会保険適用拡大で扶養を外れるメリットは？これからのパートの働き方。
ハラスメント・安全衛生,1,2023-10-19 12:00:00,「精神障害の労災認定基準」にカスハラを追加
